incident_datetime,incident_date,incident_time,incident_year,incident_day_of_week,report_datetime,row_id,incident_id,incident_number,cad_number,report_type_code,report_type_description,incident_code,incident_category,incident_subcategory,incident_description,resolution,intersection,cnn,police_district,analysis_neighborhood,supervisor_district,supervisor_district_2012,latitude,longitude,incident_datetime_parsed,incident_year_rx,incident_month_rx,incident_year_month_rx,incident_year_month_date_rx
2024-07-06T19:00:00Z,2024-07-06T00:00:00Z,19:00:00,2024,Saturday,2024-07-07T15:45:00Z,140656706244,1406567,246088767,NA,II,Coplogic Initial,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,15TH AVE \ CABRILLO ST,27450000,Richmond,Outer Richmond,1,1,37.77492904663086,-122.47356414794922,2024-07-06T19:00:00Z,2024,Jul,2024-Jul,2024-07-01
2024-03-01T19:00:00Z,2024-03-01T00:00:00Z,19:00:00,2024,Friday,2024-04-05T07:08:00Z,137972206240,1379722,240213928,240960577,II,Initial,06240,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, Att.",Open or Active,FLORENTINE AVE \ MISSION ST,21507000,Ingleside,Excelsior,11,11,37.71336364746094,-122.44395446777344,2024-03-01T19:00:00Z,2024,Mar,2024-Mar,2024-03-01
2024-02-23T16:50:00Z,2024-02-23T00:00:00Z,16:50:00,2024,Friday,2024-02-23T19:00:00Z,136728306243,1367283,240120561,240542838,II,Initial,06243,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $200-$950",Open or Active,HYDE ST \ LOMBARD ST,25565000,Central,Russian Hill,3,2,37.80199432373047,-122.41961669921876,2024-02-23T16:50:00Z,2024,Feb,2024-Feb,2024-02-01
2024-07-28T13:00:00Z,2024-07-28T00:00:00Z,13:00:00,2024,Sunday,2024-07-28T20:40:00Z,141050306244,1410503,240471154,242102722,II,Initial,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,BAY ST \ POWELL ST,25461000,Central,North Beach,3,3,37.80582427978516,-122.41194915771484,2024-07-28T13:00:00Z,2024,Jul,2024-Jul,2024-07-01
2024-04-19T18:00:00Z,2024-04-19T00:00:00Z,18:00:00,2024,Friday,2024-04-20T15:08:00Z,138422206224,1384222,246053895,NA,II,Coplogic Initial,06224,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",Open or Active,MARIPOSA ST \ PENNSYLVANIA AVE,23655000,Bayview,Potrero Hill,10,10,37.76402282714844,-122.39373016357422,2024-04-19T18:00:00Z,2024,Apr,2024-Apr,2024-04-01
2024-04-28T01:55:00Z,2024-04-28T00:00:00Z,01:55:00,2024,Sunday,2024-04-28T02:12:00Z,138594006241,1385940,240266369,241190221,II,Initial,06241,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, <$50",Open or Active,COLERIDGE ST \ ESMERALDA AVE,21320000,Ingleside,Bernal Heights,9,9,37.74406051635742,-122.41949462890624,2024-04-28T01:55:00Z,2024,Apr,2024-Apr,2024-04-01
2024-03-17T12:00:00Z,2024-03-17T00:00:00Z,12:00:00,2024,Sunday,2024-03-17T18:20:00Z,137427806244,1374278,240172108,240772508,II,Initial,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,BAY ST \ HYDE ST,25577000,Central,Russian Hill,2,2,37.80479049682617,-122.42018127441406,2024-03-17T12:00:00Z,2024,Mar,2024-Mar,2024-03-01
2024-01-11T15:05:00Z,2024-01-11T00:00:00Z,15:05:00,2024,Thursday,2024-01-11T16:06:00Z,135531806244,1355318,240023896,240112155,II,Initial,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,BEACH ST \ TAYLOR ST,25591000,Central,North Beach,3,3,37.80727767944336,-122.41561889648438,2024-01-11T15:05:00Z,2024,Jan,2024-Jan,2024-01-01
2024-08-29T14:00:00Z,2024-08-29T00:00:00Z,14:00:00,2024,Thursday,2024-08-31T16:40:00Z,142011506224,1420115,246111437,NA,II,Coplogic Initial,06224,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",Open or Active,CASELLI AVE \ YUKON ST,26161000,Mission,Castro/Upper Market,8,8,37.759613037109375,-122.44230651855467,2024-08-29T14:00:00Z,2024,Aug,2024-Aug,2024-08-01
2024-02-10T20:00:00Z,2024-02-10T00:00:00Z,20:00:00,2024,Saturday,2024-02-13T10:23:00Z,137351906244,1373519,246033916,NA,II,Coplogic Initial,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,BAY ST \ HYDE ST,25577000,Central,Russian Hill,2,2,37.80479049682617,-122.42018127441406,2024-02-10T20:00:00Z,2024,Feb,2024-Feb,2024-02-01
2024-08-20T22:00:00Z,2024-08-20T00:00:00Z,22:00:00,2024,Tuesday,2024-08-24T17:00:00Z,141840406244,1418404,246108785,NA,II,Coplogic Initial,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,KEARNY ST \ VALLEJO ST,24842000,Central,North Beach,3,3,37.79896926879883,-122.40564727783205,2024-08-20T22:00:00Z,2024,Aug,2024-Aug,2024-08-01
2024-07-01T10:00:00Z,2024-07-01T00:00:00Z,10:00:00,2024,Monday,2024-07-02T11:21:00Z,140394006224,1403940,246084828,NA,II,Coplogic Initial,06224,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",Open or Active,20TH AVE \ BUCKINGHAM WAY \ WINSTON DR,33717000,Taraval,Lakeshore,7,7,37.73011779785156,-122.47593688964844,2024-07-01T10:00:00Z,2024,Jul,2024-Jul,2024-07-01
2024-04-21T13:45:00Z,2024-04-21T00:00:00Z,13:45:00,2024,Sunday,2024-04-21T17:24:00Z,138617506244,1386175,246056184,NA,II,Coplogic Initial,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,BURNETT AVE \ GARDENSIDE DR,26124000,Park,Twin Peaks,8,8,37.75558471679688,-122.44422149658205,2024-04-21T13:45:00Z,2024,Apr,2024-Apr,2024-04-01
2024-06-16T00:00:00Z,2024-06-16T00:00:00Z,00:00:00,2024,Sunday,2024-06-16T11:53:00Z,139943806224,1399438,246078025,NA,II,Coplogic Initial,06224,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",Open or Active,CHESTNUT ST \ OCTAVIA ST,26720000,Northern,Marina,2,2,37.80165481567383,-122.4296646118164,2024-06-16T00:00:00Z,2024,Jun,2024-Jun,2024-06-01
2024-06-15T22:00:00Z,2024-06-15T00:00:00Z,22:00:00,2024,Saturday,2024-06-16T14:46:00Z,139943406224,1399434,246078047,NA,II,Coplogic Initial,06224,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",Open or Active,FRANKLIN ST \ FULTON ST,24472000,Northern,Hayes Valley,5,5,37.77895736694336,-122.42170715332033,2024-06-15T22:00:00Z,2024,Jun,2024-Jun,2024-06-01
2024-04-29T19:00:00Z,2024-04-29T00:00:00Z,19:00:00,2024,Monday,2024-04-29T23:25:00Z,138674106244,1386741,246057267,NA,II,Coplogic Initial,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,GEARY BLVD \ ZAMPA LN,54008000,Northern,Western Addition,5,5,37.78466033935547,-122.42979431152344,2024-04-29T19:00:00Z,2024,Apr,2024-Apr,2024-04-01
2024-02-22T20:00:00Z,2024-02-22T00:00:00Z,20:00:00,2024,Thursday,2024-02-22T21:14:00Z,136705506244,1367055,240118356,240533363,II,Initial,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,PARKRIDGE DR \ VISTA LN,32974000,Park,Twin Peaks,8,8,37.752349853515625,-122.44598388671876,2024-02-22T20:00:00Z,2024,Feb,2024-Feb,2024-02-01
2024-03-16T16:45:00Z,2024-03-16T00:00:00Z,16:45:00,2024,Saturday,2024-03-17T15:47:00Z,137428106244,1374281,246035075,NA,IS,Coplogic Supplement,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,KEZAR DR \ MARTIN LUTHER KING JR DR,27183000,Park,Golden Gate Park,7,5,37.7672004699707,-122.45863342285156,2024-03-16T16:45:00Z,2024,Mar,2024-Mar,2024-03-01
2024-03-05T22:00:00Z,2024-03-05T00:00:00Z,22:00:00,2024,Tuesday,2024-03-06T16:04:00Z,137865506244,1378655,246043250,NA,II,Coplogic Initial,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,BEACH ST \ JONES ST,25595000,Central,North Beach,3,3,37.807071685791016,-122.4172592163086,2024-03-05T22:00:00Z,2024,Mar,2024-Mar,2024-03-01
2024-05-01T18:00:00Z,2024-05-01T00:00:00Z,18:00:00,2024,Wednesday,2024-05-02T06:48:00Z,138810306244,1388103,246059069,NA,II,Coplogic Initial,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,ITALY AVE \ NAPLES ST,21411000,Ingleside,Excelsior,11,11,37.716190338134766,-122.43473052978516,2024-05-01T18:00:00Z,2024,May,2024-May,2024-05-01
2024-03-13T10:00:00Z,2024-03-13T00:00:00Z,10:00:00,2024,Wednesday,2024-03-13T11:09:00Z,137311406244,1373114,246032902,NA,II,Coplogic Initial,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,AUSTIN ST \ FRANKLIN ST,26499000,Northern,Western Addition,2,2,37.78874588012695,-122.42369079589844,2024-03-13T10:00:00Z,2024,Mar,2024-Mar,2024-03-01
2024-05-09T21:00:00Z,2024-05-09T00:00:00Z,21:00:00,2024,Thursday,2024-05-10T09:22:00Z,138932906224,1389329,240294053,241310837,II,Initial,06224,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",Open or Active,GREENWICH ST \ OCTAVIA ST,26719000,Northern,Marina,2,2,37.79978942871094,-122.42929077148438,2024-05-09T21:00:00Z,2024,May,2024-May,2024-05-01
2024-02-17T11:30:00Z,2024-02-17T00:00:00Z,11:30:00,2024,Saturday,2024-02-17T13:19:00Z,136684306224,1366843,246022254,NA,II,Coplogic Initial,06224,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",Open or Active,42ND AVE \ GEARY BLVD \ POINT LOBOS AVE,27917000,Richmond,Outer Richmond,1,1,37.77960968017578,-122.5029754638672,2024-02-17T11:30:00Z,2024,Feb,2024-Feb,2024-02-01
2024-05-16T22:00:00Z,2024-05-16T00:00:00Z,22:00:00,2024,Thursday,2024-05-16T23:28:00Z,139137606244,1391376,246064626,NA,II,Coplogic Initial,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,BEACH ST \ GRANT AVE \ THE EMBARCADERO,25475000,Central,North Beach,3,3,37.80810928344727,-122.40904998779295,2024-05-16T22:00:00Z,2024,May,2024-May,2024-05-01
2024-08-14T03:20:00Z,2024-08-14T00:00:00Z,03:20:00,2024,Wednesday,2024-09-06T10:23:00Z,142291606224,1422916,246118201,NA,II,Coplogic Initial,06224,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",Open or Active,19TH ST \ SAN BRUNO AVE,23765000,Bayview,Potrero Hill,10,10,37.76079177856445,-122.40509796142578,2024-08-14T03:20:00Z,2024,Aug,2024-Aug,2024-08-01
2024-01-31T05:29:00Z,2024-01-31T00:00:00Z,05:29:00,2024,Wednesday,2024-01-31T09:31:00Z,136096106244,1360961,246011962,NA,II,Coplogic Initial,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,GREENWICH ST \ STEINER ST,26765000,Northern,Marina,2,2,37.79874038696289,-122.43751525878906,2024-01-31T05:29:00Z,2024,Jan,2024-Jan,2024-01-01
2024-07-28T00:30:00Z,2024-07-28T00:00:00Z,00:30:00,2024,Sunday,2024-07-28T18:22:00Z,141048006224,1410480,240470861,242102334,II,Initial,06224,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",Open or Active,HAHN ST \ SUNRISE WAY,20406000,Ingleside,Visitacion Valley,10,10,37.7099494934082,-122.41688537597656,2024-07-28T00:30:00Z,2024,Jul,2024-Jul,2024-07-01
2024-06-27T08:17:00Z,2024-06-27T00:00:00Z,08:17:00,2024,Thursday,2024-06-27T18:26:00Z,140271406244,1402714,246082606,NA,II,Coplogic Initial,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,22ND ST \ HARRISON ST,23994000,Mission,Mission,9,9,37.75583267211914,-122.41220092773438,2024-06-27T08:17:00Z,2024,Jun,2024-Jun,2024-06-01
2024-07-01T18:00:00Z,2024-07-01T00:00:00Z,18:00:00,2024,Monday,2024-07-02T10:28:00Z,140484306244,1404843,246086608,NA,II,Coplogic Initial,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,EDDY ST \ PINAR LN \ SAINT JOSEPHS AVE,26364000,Park,Western Addition,2,2,37.78029251098633,-122.44114685058594,2024-07-01T18:00:00Z,2024,Jul,2024-Jul,2024-07-01
2024-01-10T01:00:00Z,2024-01-10T00:00:00Z,01:00:00,2024,Wednesday,2024-01-10T10:58:00Z,135516106244,1355161,246003486,NA,II,Coplogic Initial,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,BUSH ST \ COTTAGE ROW,30063000,Northern,Pacific Heights,5,5,37.78715896606445,-122.43238830566406,2024-01-10T01:00:00Z,2024,Jan,2024-Jan,2024-01-01
2024-04-04T19:30:00Z,2024-04-04T00:00:00Z,19:30:00,2024,Thursday,2024-04-04T22:06:00Z,137996006224,1379960,246046947,NA,II,Coplogic Initial,06224,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",Open or Active,GEARY BLVD \ GEARY ST \ VAN NESS AVE,25197000,Northern,Western Addition,3,5,37.78568649291992,-122.42139434814452,2024-04-04T19:30:00Z,2024,Apr,2024-Apr,2024-04-01
2024-03-18T15:30:00Z,2024-03-18T00:00:00Z,15:30:00,2024,Monday,2024-03-19T12:09:00Z,137464706243,1374647,240175920,240791382,II,Initial,06243,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $200-$950",Open or Active,30TH AVE \ TARAVAL ST,23283000,Taraval,Sunset/Parkside,4,4,37.74253082275391,-122.48748016357422,2024-03-18T15:30:00Z,2024,Mar,2024-Mar,2024-03-01
2024-09-17T17:00:00Z,2024-09-17T00:00:00Z,17:00:00,2024,Tuesday,2024-09-18T09:29:00Z,142555506244,1425555,246121561,NA,II,Coplogic Initial,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,17TH ST \ GUERRERO ST,25690000,Mission,Mission,8,8,37.76316833496094,-122.42395782470705,2024-09-17T17:00:00Z,2024,Sep,2024-Sep,2024-09-01
2024-06-25T09:05:00Z,2024-06-25T00:00:00Z,09:05:00,2024,Tuesday,2024-06-25T20:27:00Z,140272606244,1402726,246082496,NA,II,Coplogic Initial,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,PALOU AVE \ SELBY ST,20754000,Bayview,Bayview Hunters Point,10,10,37.73927688598633,-122.4002456665039,2024-06-25T09:05:00Z,2024,Jun,2024-Jun,2024-06-01
2024-08-02T12:15:00Z,2024-08-02T00:00:00Z,12:15:00,2024,Friday,2024-08-02T12:48:00Z,141180906244,1411809,240482565,242151523,II,Initial,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,LEAVENWORTH ST \ LURMONT TER,25519000,Central,Russian Hill,3,3,37.80170822143555,-122.41787719726562,2024-08-02T12:15:00Z,2024,Aug,2024-Aug,2024-08-01
